Forest,Managed.Status,Trout.Status,Year,Stream.Length.km,Beaver.Colonies,Colonies.per.km,Prop.Aspen,Prop.Mixed.Aspen,Prop.Hardwoods,Prop.Conifers,Prop.Shrubs,Prop.Open,Prop.Non.Forest,Prop.All.Aspen,Dev.30yr.Mean Max.May.0,Dev.30yr.Mean Max.May.1,Dev.30yr.Mean Max.May.2,Dev.30yr.Mean Max.May.3,Dev.30.yr.PRISM.winter.DM.zero.days.0,Dev.30.yr.PRISM.winter.DM.zero.days.1,Dev.30.yr.PRISM.winter.DM.zero.days.2,PDSI.May.0,PDSI.June.July.0,PDSI.Aug.Sept.0,PDSI.May.Sept.0,PDSI.Aug.Oct.0,PDSI.May.1,PDSI.June.July.1,Drought.June.July.1,PDSI.Aug.Sept.1,PDSI.May.Sept.1,PDSI.Aug.Oct.1,PDSI.May.2,PDSI.June.July.2,PDSI.Aug.Sept.2,PDSI.May.Sept.2,PDSI.Aug.Oct.2,PDSI.May.3,PDSI.June.July.3,PDSI.Aug.Sept.3,PDSI.May.Sept.3,PDSI.Aug.Oct.3,COOP.winter.DM.cum.snow.mm.0,COOP.winter.DM.cum.snow.mm.1,COOP.winter.DM.cum.snow.mm.2,Dev.30yr.COOP.winter.DM.cum.snow.mm.0,Dev.30yr.COOP.winter.DM.cum.snow.mm.1,Dev.30yr.COOP.winter.DM.cum.snow.mm.2
Nicolet,Managed,Trout,1987,825.9932405,186,0.225183441,0.167100138,0.037909249,0.198350158,0.332085237,0.100606165,0.139733406,0.024215646,0.205009387,2.12,2.38,1.87,-1.85,-15.84,0.16,14.16,-1.81,-2.61,-2.77,-2.51,-2.65,1.89,1.76,0,1.96,1.87,2.26,2.15,1.94,3.31,2.53,3.55,1.47,1.49,1.47,1.48,1.86,891.33,1582,1881.67,-681.62,9.04,308.71
Nicolet,Managed,Trout,1988,825.9932405,187,0.226394104,0.167273038,0.038070422,0.198356887,0.331885777,0.100604051,0.139595041,0.024214783,0.20534346,4.41,2.12,2.38,1.87,9.16,-15.84,0.16,-2.26,-3.36,-3.39,-3.15,-3.28,-1.81,-2.61,0,-2.77,-2.51,-2.65,1.89,1.76,1.96,1.87,2.26,2.15,1.94,3.31,2.53,3.55,1446,891.33,1582,-126.96,-681.62,9.04
Nicolet,Managed,Trout,1989,825.9932405,153,0.18523154,0.168041363,0.038374229,0.198356887,0.33080081,0.100604051,0.139607876,0.024214783,0.206415592,0.31,4.41,2.12,2.38,15.16,9.16,-15.84,-1.35,-1.73,-2.87,-2.11,-2.88,-2.26,-3.36,1,-3.39,-3.15,-3.28,-1.81,-2.61,-2.77,-2.51,-2.65,1.89,1.76,1.96,1.87,2.26,1666.33,1446,891.33,93.38,-126.96,-681.62
Nicolet,Managed,Trout,1990,825.9932405,136,0.164650258,0.167970909,0.038524894,0.198369648,0.330643427,0.100604051,0.139672287,0.024214783,0.206495803,-1.7,0.31,4.41,2.12,6.16,15.16,9.16,0.89,2.24,2.6,2.11,2.69,-1.35,-1.73,0,-2.87,-2.11,-2.88,-2.26,-3.36,-3.39,-3.15,-3.28,-1.81,-2.61,-2.77,-2.51,-2.65,1229.67,1666.33,1446,-343.29,93.38,-126.96
Nicolet,Managed,Trout,1991,825.9932405,148,0.179178222,0.168902683,0.037898933,0.198330665,0.33037144,0.100604051,0.139677446,0.024214783,0.206801615,1.8,-1.7,0.31,4.41,8.16,6.16,15.16,2.93,2.59,2.09,2.46,2.33,0.89,2.24,0,2.6,2.11,2.69,-1.35,-1.73,-2.87,-2.11,-2.88,-2.26,-3.36,-3.39,-3.15,-3.28,1155,1229.67,1666.33,-417.96,-343.29,93.38
Nicolet,Managed,Trout,1992,825.9932405,141,0.170703576,0.172685726,0.038411439,0.199918192,0.324705554,0.100539059,0.139525246,0.024214783,0.211097165,1.64,1.8,-1.7,0.31,-1.84,8.16,6.16,2.73,1.71,1.87,1.98,1.88,2.93,2.59,0,2.09,2.46,2.33,0.89,2.24,2.6,2.11,2.69,-1.35,-1.73,-2.87,-2.11,-2.88,1306.33,1155,1229.67,-266.62,-417.96,-343.29
Nicolet,Managed,Trout,1993,825.9932405,122,0.147700967,0.172685726,0.038411439,0.199918192,0.324705554,0.100539059,0.139525246,0.024214783,0.211097165,-1.02,1.64,1.8,-1.7,8.16,-1.84,8.16,3.14,4.21,3.69,3.79,3.61,2.73,1.71,0,1.87,1.98,1.88,2.93,2.59,2.09,2.46,2.33,0.89,2.24,2.6,2.11,2.69,1065.33,1306.33,1155,-507.62,-266.62,-417.96
Nicolet,Managed,Trout,1994,825.9932405,112,0.13559433,0.169112175,0.037720384,0.198286801,0.330536558,0.100604051,0.139525246,0.024214783,0.20683256,1.25,-1.02,1.64,1.8,11.16,8.16,-1.84,-0.6,-0.24,0.87,0.13,1.04,3.14,4.21,0,3.69,3.79,3.61,2.73,1.71,1.87,1.98,1.88,2.93,2.59,2.09,2.46,2.33,1556.33,1065.33,1306.33,-16.62,-507.62,-266.62
Nicolet,Managed,Trout,1995,825.9932405,91,0.110170393,0.169103679,0.037728881,0.198286801,0.330536558,0.100604051,0.139525246,0.024214783,0.20683256,-0.77,1.25,-1.02,1.64,-5.84,11.16,8.16,0.49,-1.16,0.67,-0.1,1.03,-0.6,-0.24,0,0.87,0.13,1.04,3.14,4.21,3.69,3.79,3.61,2.73,1.71,1.87,1.98,1.88,1165.33,1556.33,1065.33,-407.62,-16.62,-507.62
Nicolet,Managed,Trout,1996,825.9932405,49,0.059322519,0.169522518,0.037728881,0.198250082,0.330154438,0.100604051,0.139525246,0.024214783,0.207251399,-2.31,-0.77,1.25,-1.02,23.16,-5.84,11.16,1.91,3.57,2.91,2.97,2.89,0.49,-1.16,0,0.67,-0.1,1.03,-0.6,-0.24,0.87,0.13,1.04,3.14,4.21,3.69,3.79,3.61,2277.33,1165.33,1556.33,704.38,-407.62,-16.62
